access_num,gid,koid,cogid,hprd_nid,nhit_ref,nevalue,nscore,hprd_aid,ahit_ref,aevalue,ascore,degid,organismid
CEG1790,16077186,---,COG0089J,12529,NM_024949.5,0.33,100,19217_1,NP_001087227.2,2.90E-02,41.51,DEG10010037,2
CEG1791,16077187,---,COG0090J,18820,NM_015232.1,3.9,100,14745_1,NP_057034.2,1.00E-65,39.9,DEG10010038,2
CEG0051,16077188,K02965,COG0185J,16988,NM_001001709,1.2,100,01613_1,NP_001009.1,2.00E-19,42.31,DEG10010039,2
CEG0021,16077189,K02890,COG0091J,17160,NM_182972.2,1.5,95.24,14748_1,NP_054899.2,5.00E-35,28.85,DEG10010040,2
CEG1792,16077190,---,COG0092J,19419,NM_001099270,0.77,100,10941_1,NP_000996.2,1.00E-65,23.78,DEG10010041,2
CEG0020,16077191,K02878,COG0197J,4937,NM_001012511,2,100,14743_1,NP_060310.1,2.00E-51,35.29,DEG10010042,2
CEG0023,16077192,K02904,COG0255J,15975,NM_016654.4,3.5,100,10200_1,NP_009140.1,9.10E-02,39.66,DEG10010043,2
CEG0050,16077193,K02961,COG0186J,11011,NM_145290.2,1.2,100,01599_1,NP_001006.1,5.00E-03,31.65,DEG10010044,2
CEG0018,16077194,K02874,COG0093J,10332,NM_001031623,0.11,95.65,14741_1,NP_115487.2,3.00E-30,30.77,DEG10010045,2
CEG0022,16077195,K02895,COG0198J,19662,NM_001042516,1.4,100,14749_2,NP_078816.2,8.00E-42,29.81,DEG10010046,2
CEG0003,16077196,K02931,COG0094J,1462,NM_001035256,0.63,100,10364_1,NP_000966.2,4.00E-48,27.41,DEG10010047,2
CEG0049,16077197,K02954,COG0199J,11727,NM_138347.3,0.052,100,14777_1,NP_071383.1,3.00E-12,45,DEG10010048,2
CEG1794,16077198,---,COG0096J,15883,NM_198494.2,1.8,100,04723_2,NP_001025180.1,1.00E-49,27.82,DEG10010049,2
CEG0024,16077199,K02933,COG0097J,18118,NM_139267.1,0.16,95.65,04732_2,NP_001020092.1,2.00E-56,26.01,DEG10010050,2
CEG1811,16077200,---,COG0256J,13587,NM_178439.3,1.6,100,04231_1,NP_002884.1,6.00E-01,28.17,DEG10010051,2
CEG0027,16077201,K02988,COG0098J,12554,NM_173473.2,2.3,100,10099_1,NP_114108.1,2.00E-55,28.66,DEG10010052,2
CEG0091,16077202,K02907,COG1841J,16506,NM_018120.3,0.78,100,14751_3,NP_660214.1,2.10E-01,26.92,DEG10010053,2
CEG0019,16077203,K02876,COG0200J,13448,AK097855.1,2,95.24,14742_1,NP_054894.1,1.00E-42,28.3,DEG10010054,2
CEG0055,16077204,K03076,COG0201U,7044,NM_001093.3,1.5,100,15317_2,NP_001136099.1,1.10E-01,22.82,DEG10010055,2
CEG0065,16077205,K00939,COG0563F,15336,NM_015677.2,0.049,90.63,00047_1,NP_001616.1,2.00E-75,40.38,DEG10010056,2
CEG0068,16077206,K01265,COG0024J,9341,NM_006626.4,0.88,95.45,10071_1,NP_055958.2,4.00E-99,39.75,DEG10010057,2
CEG0014,16077207,K02518,COG0361J,2775,NM_005284.3,0.001,96.15,14485_1,NP_660301.1,4.3,23.64,DEG10010058,2
CEG0128,16077208,K02919,COG0257J,13176,NM_030816.4,0.12,100,14756_1,NP_115868.1,2.60E-01,36.11,DEG10010059,2
CEG1795,16077209,---,COG0099J,8311,NM_153239.2,0.42,100,01601_1,NP_072045.1,5.00E-30,25.38,DEG10010060,2
CEG0025,16077210,K02948,COG0100J,14586,NM_173556.3,0.029,100,14776_1,NP_073750.2,1.00E-37,42.74,DEG10010061,2
CEG0029,16077211,K03040,COG0202K,15431,NM_001040428,0.072,100,15945_2,NP_002685.2,1.30E-02,20.22,DEG10010062,2
CEG0045,16077212,K02879,COG0203J,8403,NM_153700.2,0.42,95.45,10096_1,NP_071344.1,4.00E-41,37.29,DEG10010063,2
CEG1796,16077217,---,COG0102J,640,NM_002035.2,0.51,100,14740_1,NP_054797.2,4.00E-52,35.07,DEG10010064,2
CEG0133,16077218,K02996,COG0103J,7077,NM_000926.4,1.8,100,17602_1,NP_872578.1,4.00E-41,39.68,DEG10010065,2
CEG0187,16077245,K03431,COG1109G,3332,NM_005440.4,0.1,100,02990_1,NP_068800.2,9.00E-108,19.88,DEG10010066,2
CEG0197,16077246,K00820,COG0449M,75,NM_006885.3,0.54,100,00702_1,NP_002047.2,0,32.75,DEG10010067,2
CEG0209,16077382,K01916,COG0171H,377,NM_080645.2,0.062,100,16309_1,NP_060631.2,6.00E-90,24.56,DEG10010068,2
CEG0074,16077523,K01921,COG1181M,4191,NM_002538.2,1.3,100,06437_1,NP_004332.2,2.00E-54,26.25,DEG10010069,2
CEG0076,16077524,K01929,COG0770M,17410,NM_001007139,0.41,100,15456_1,NP_597734.2,6.60E-01,26.56,DEG10010070,2
CEG0201,16077529,K00997,COG0736I,2941,NM_001081640,0.11,100,02802_1,NP_000089.1,3.20E-01,36.84,DEG10010071,2
CEG0282,16077531,K01775,COG0787M,6776,NM_177525.1,0.35,100,12201_2,NP_060890.2,1.30E-01,26.51,DEG10010072,2
CEG0141,16077658,K06925,COG0802R,19452,NM_001142645,2.2,100,01562_2,NP_955448.1,3.70E-01,30.77,DEG10010073,2
CEG0370,16077659,---,COG1214O,5592,NM_024342.1,0.21,95.65,10133_1,NP_060277.1,3.70E-01,22.76,DEG10010074,2
CEG0036,16077661,K01409,COG0533O,18608,NM_001024401,1.2,100,07026_1,NP_071748.2,2.00E-118,34.68,DEG10010075,2
CEG0140,50812190,K04078,COG0234O,1453,NM_001080123,0.082,100,02535_1,NP_002148.1,6.00E-27,37.5,DEG10010076,2
CEG0139,16077670,K04077,COG0459O,647,NM_001005738,2,100,00318_2,NP_955472.1,7.00E-157,50.76,DEG10010077,2
CEG0376,16077673,K00558,COG0270L,17413,NM_001008388,0.39,100,00532_2,NP_001124295.1,2.00E-65,27.92,DEG10010078,2
CEG0376,16077674,K00558,COG0270L,17933,NM_013357.2,1.4,100,04209_4,NP_787046.1,4.00E-88,20.81,DEG10010079,2
CEG0189,16077729,K03657,COG0210L,14309,NM_024509.1,0.67,95.65,07937_1,NP_060385.2,1.70E-02,26,DEG10010080,2
CEG0001,16077730,K01972,COG0272L,3467,NM_002410.3,2.4,100,00024_1,NP_002904.3,2.00E-30,35.87,DEG10010081,2
CEG0291,16077735,K02435,COG0721J,13066,NM_016369.3,0.33,100,15934_1,NP_789788.1,5.00E-26,29.27,DEG10010082,2
CEG0212,16077736,K02433,COG0154J,19108,NM_001080505,1.7,100,15199_1,NP_060762.3,0,38.15,DEG10010083,2
CEG0120,50812194,K02434,COG0064J,14489,NM_144982.4,1.7,100,04706_1,NP_004555.1,0,36.64,DEG10010084,2
CEG0825,16077740,K07029,COG1597IR,4272,NM_006526.2,0.27,100,09757_1,NP_963842.1,3.00E-73,23.24,DEG10010085,2
CEG1807,16077958,---,COG0219J,8582,NM_025147.3,0.036,100,05445_1,NP_005637.3,3.00E-59,27.56,DEG10010086,2
CEG0929,16078016,---,COG5662K,10340,NM_004427.3,0.082,100,05468_1,NP_061971.3,3.00E-01,36.36,DEG10010087,2
CEG0362,16078019,---,COG0204I,3156,NM_004321.4,0.18,95.65,04372_2,NP_116130.2,2.00E-59,26.06,DEG10010088,2
CEG1537,16078059,K07533,COG0760O,14131,NM_174925.1,1,100,02219_1,NP_006214.2,5.00E-35,39,DEG10010089,2
CEG0437,16078199,K09458,COG0304IQ,1476,NM_080841.2,0.37,95.65,07931_1,NP_060367.1,1.00E-170,47.96,DEG10010090,2
CEG0070,16078207,K01867,COG0180J,3389,NM_001627.2,1.2,100,05295_1,NP_056651.1,6.00E-154,39.45,DEG10010091,2
CEG0145,16078226,K00858,COG0061G,12011,NM_000817.2,0.24,95.65,16907_1,NP_075394.3,8.00E-66,27.15,DEG10010092,2
CEG1970,16078482,---,COG2171E,15426,NM_181727.1,0.21,100,04898_1,NP_003898.2,5.70E-01,32.88,DEG10010093,2
CEG1417,16078483,K05823,COG1473R,6170,NM_001142296,0.086,100,14872_1,NP_079204.2,1.4,30.16,DEG10010094,2
CEG0225,16078517,K12574,COG0595R,12793,BC004343.1,0.5,95.65,05825_1,NP_057291.1,6.00E-71,20.99,DEG10010095,2
CEG0373,16078522,K00161,COG1071C,11144,NM_001105531,0.34,95.65,02009_1,NP_000700.1,3.00E-138,32.18,DEG10010096,2
CEG2852,16078548,---,---,12286,NM_001135148,1.3,100,01290_1,NP_004548.3,8.20E-02,39.39,DEG10010097,2
CEG0161,16078549,K03588,COG0772D,7408,NM_024077.3,0.36,100,06633_1,NP_054780.2,1.5,44.74,DEG10010098,2
CEG0184,16078572,K02911,COG0333J,15219,NM_178145.1,0.05,100,14752_1,NP_114109.1,8.80E-01,38.78,DEG10010099,2
CEG2014,16078579,---,COG3116D,17104,NM_152795.2,1.6,100,04447_1,NP_003818.2,2.30E-02,31.34,DEG10010100,2
CEG1885,16078580,---,COG0768M,7587,NM_014016.3,0.16,100,06023_1,NP_055935.4,9.00E-01,27.78,DEG10010101,2
CEG0210,16078582,K01928,COG0769M,7364,NM_001033053,0.11,100,14510_1,NP_659429.4,2.40E-02,31.31,DEG10010102,2
CEG1840,16078583,---,COG0472M,2007,NM_000528.3,0.29,100,01879_1,NP_001373.2,1.00E-47,27.38,DEG10010103,2
CEG0115,16078584,K01925,COG0771M,3515,NM_000538.3,0.1,100,09715_2,NP_892022.2,3,32.5,DEG10010104,2
CEG1873,16078586,---,COG0707M,10024,NM_017553.1,1.3,100,05821_1,NP_065202.2,2.30E-01,31.88,DEG10010105,2
CEG0166,16078587,K00075,COG0812M,9561,NM_014708.4,0.069,100,05599_1,NP_054790.2,5.00E-02,36.21,DEG10010106,2
CEG0188,16078588,K03589,COG1589M,17197,NM_001100425,0.24,100,14455_1,NP_064710.3,1.50E-01,22.32,DEG10010107,2
CEG1898,16078592,---,COG0849D,14475,NM_052935.3,0.4,100,10008_1,NP_055956.1,3.90E-01,32.67,DEG10010108,2
CEG1805,16078593,---,COG0206D,8493,NM_017670.2,0.087,100,08067_1,NP_689917.2,3.70E-01,27.16,DEG10010109,2
CEG1782,16078607,---,COG0060J,2369,NM_001099733,0.054,100,13334_1,NP_060530.3,0,39.61,DEG10010110,2
CEG0107,50812226,K00942,COG0194F,19291,NM_001089588,0.18,100,02177_1,NP_066943.2,2.00E-64,26.8,DEG10010111,2
CEG0305,16078634,K04066,COG1198L,17426,NM_018447.1,2.9,100,10490_1,NP_057306.2,2.40E-02,31.43,DEG10010112,2
CEG0063,16078636,K00604,COG0223J,15896,NM_032143.2,0.29,100,02594_1,NP_036322.2,6.00E-121,29.97,DEG10010113,2
CEG0589,16078641,K06949,COG1162R,10821,NM_023037.2,0.017,100,11006_1,NP_037417.1,2.80E-01,25,DEG10010114,2
CEG0126,16078645,K02902,COG0227J,6807,NM_004776.3,0.82,100,,,no hit,no hit,DEG10010115,2
CEG0219,16078652,K03621,COG0416I,10305,NM_139281.2,0.076,100,19562_1,NP_001138498.1,3.1,24.53,DEG10010116,2
CEG0144,16078653,K00645,COG0331I,2819,NM_002264.3,0.072,100,14786_1,NP_775738.3,4.00E-109,33.22,DEG10010117,2
CEG0004,16078654,K00059,COG1028IQR,13623,NM_201517.2,0.22,100,07484_1,NP_066284.2,3.00E-75,37.96,DEG10010118,2
CEG0078,16078655,K02078,COG0236IQ,18357,NM_020747.2,0.26,95.45,11951_1,NP_004994.1,9.00E-23,43.33,DEG10010119,2
CEG0302,16078656,K03685,COG0571K,18731,NM_001037330,0.88,100,05875_2,NP_085124.2,8.00E-82,26.88,DEG10010120,2
CEG0895,16078657,---,COG1196D,15013,NM_001005168,1.1,100,09276_3,NP_001002800.1,0,23.9,DEG10010121,2
CEG0031,16078658,K03110,COG0552U,10506,NM_017641.2,0.3,100,05330_1,NP_003127.1,8.00E-97,30.11,DEG10010122,2
CEG0134,16078661,K03106,COG0541U,12972,NM_032728.3,0.026,100,05330_1,NP_003127.1,4.00E-163,34.08,DEG10010123,2
CEG0096,16078662,K02959,COG0228J,17271,NM_180990.3,4.8,100,14778_1,NP_057149.1,1.00E-33,35,DEG10010124,2
CEG0034,16078666,K00554,COG0336J,4949,NM_001142434,0.22,100,03399_4,NP_001509.3,2.8,26.92,DEG10010125,2
CEG0123,16078667,K02884,COG0335J,1193,NM_000882.2,0.41,100,11370_2,NP_055578.2,3.00E-33,31.96,DEG10010126,2
CEG0227,16078668,K14540,COG1161R,12193,NM_019010.1,1,100,11602_1,NP_612393.2,4.00E-81,30.82,DEG10010127,2
CEG0160,16078675,K03168,COG0551L,10974,NM_001009954,2.5,100,04662_1,NP_003926.1,0,22.79,DEG10010128,2
CEG0026,16078712,K02967,COG0052J,15166,NM_020700.1,0.22,100,14783_1,NP_057118.1,8.00E-72,30.6,DEG10010129,2
CEG0084,16078713,K02357,COG0264J,4390,NM_003622.2,0.26,95.65,05285_1,NP_005717.3,1.00E-89,24.09,DEG10010130,2
CEG0043,16078715,K02838,COG0233J,334,NM_000745.2,0.17,100,06856_1,NP_620132.1,4.00E-62,29.28,DEG10010131,2
CEG0067,16078717,K00981,COG0575I,3463,NM_001017535,0.24,100,09150_1,NP_003809.1,8.00E-40,25.86,DEG10010132,2
CEG1878,16078718,---,COG0743I,3336,NM_002163.2,0.089,100,06701_5,NP_001138415.1,6.30E-01,33.33,DEG10010133,2
CEG0010,16078720,K01881,COG0442J,19027,NM_001080396,0.008,100,13220_1,NP_689481.2,7.00E-104,41.11,DEG10010134,2
CEG0345,16078721,K03763,COG2176L,19453,NM_001128223,0.33,95.83,02299_2,NP_542432.2,2.80E-02,29.66,DEG10010135,2
CEG0016,16078723,K02600,COG0195K,11657,NM_001008224,0.085,100,15485_4,NP_001077434.1,9.90E-01,34.09,DEG10010136,2
CEG0041,16078726,K02519,COG0532J,15627,NM_001135098,2.6,100,04792_2,NP_001005369.1,0,37.83,DEG10010137,2
CEG0095,16078731,K02956,COG0184J,13170,NM_015459.3,1.2,100,11372_1,NP_112570.2,5.00E-29,29.63,DEG10010138,2
CEG0193,16078738,K00133,COG0136E,6843,NM_004708.2,0.31,100,13037_3,NP_001070863.1,5.20E-02,28.79,DEG10010139,2
CEG0203,16078740,K01714,COG0329EM,10157,NM_031293.2,0.26,100,12584_1,NP_612422.2,1.00E-110,25.85,DEG10010140,2
CEG0881,16078755,---,COG0558I,15119,NM_014887.2,0.68,100,12187_1,NP_061968.1,6.00E-50,27.01,DEG10010141,2
CEG0590,16078759,K06950,COG1418R,9177,NM_004750.4,0.03,100,11380_1,NP_061198.2,1.00E-32,19.33,DEG10010142,2
CEG0300,16078800,K03647,COG1780F,14369,NM_017643.2,1.8,100,01223_1,NP_003195.1,2.80E-01,34.48,DEG10010143,2
CEG0033,16078801,K00525,COG0209F,16853,NM_001142800,0.64,100,01588_1,NP_001024.1,0,25.46,DEG10010144,2
CEG0143,16078802,K00526,COG0208F,19401,NM_015204.2,1.2,100,01587_1,NP_001025.1,8.00E-113,25.17,DEG10010145,2
CEG0195,16078852,K00615,COG0021G,13844,NM_020734.2,0.61,100,06001_2,NP_001128527.1,0,26.68,DEG10010146,2
CEG0224,16078868,K08591,COG0344S,9111,NM_032119.3,0.68,100,14335_1,NP_620149.1,2.3,27.56,DEG10010147,2
CEG0042,50812242,K02622,COG0187L,9754,NM_001127245,0.6,100,00537_1,NP_001059.2,0,24.4,DEG10010148,2
CEG1804,16078871,---,COG0188L,6354,NM_018230.2,0.73,100,00537_1,NP_001059.2,1.00E-122,24.93,DEG10010149,2
CEG1848,16078996,---,COG0508C,15111,NM_174924.1,1.5,100,02010_1,NP_001909.2,8.00E-146,27.25,DEG10010150,2
CEG0062,16079240,K00287,COG0262H,10024,NM_017553.1,0.59,100,00519_1,NP_000782.1,8.00E-67,33.33,DEG10010151,2
CEG0539,16079292,K02086,COG3935L,14816,NM_030571.3,0.21,100,04058_2,NP_001122390.1,8.50E-01,26.37,DEG10010152,2
CEG0173,16079293,K01893,COG0017J,4817,NM_001143985,0.39,100,00154_1,NP_004530.1,3.00E-140,33.49,DEG10010153,2
CEG0218,16079301,K03524,COG0340H,9949,NM_033484.2,1.2,95.45,08360_1,NP_000402.3,3.00E-99,26,DEG10010154,2
CEG0200,16079302,K00974,COG0617J,2855,NM_001145667,0.36,95.65,18227_1,NP_886552.2,7.00E-92,37.38,DEG10010155,2
CEG0167,16079306,K00215,COG0289E,9546,NM_018571.5,0.24,100,03361_1,NP_003213.1,9.90E-01,23.86,DEG10010156,2
CEG0498,16079331,K00805,COG0142H,14809,NM_001122838,0.31,100,09591_1,NP_055132.2,4.00E-113,30.34,DEG10010157,2
CEG0186,16079332,K03183,COG2226H,6386,NM_145352.2,0.21,100,17560_1,NP_115690.3,7.00E-90,33.46,DEG10010158,2
CEG0498,16079333,K00805,COG2226,14573,NM_001013626,0.89,100,19478_2,NP_001364.1,1.10E-01,25.7,DEG10010159,2
CEG0254,16079336,K03530,---,7445,NM_014805.3,0.32,100,00133_1,NP_000375.2,5.50E-01,30.14,DEG10010160,2
CEG0266,16079340,K00057,COG0240C,14194,NM_199345.3,0.31,95.65,10008_1,NP_055956.1,1.00E-133,32.37,DEG10010161,2
CEG0057,16079341,K03977,COG1160R,4457,NM_001203.2,0.39,100,11006_1,NP_037417.1,3.00E-56,18.85,DEG10010162,2
CEG0006,16079346,K00945,COG0283F,9527,NM_015317.1,0.013,100,10472_2,NP_036225.2,6.90E-02,23.88,DEG10010163,2
CEG0891,16079370,---,COG0755O,5259,NM_007202.2,0.32,95.65,15720_1,NP_056272.2,1.3,26.14,DEG10010164,2
CEG0836,16079371,K07399,COG1333O,4210,NM_002270.3,0.12,100,00920_4,NP_976029.1,4.50E-02,26.47,DEG10010165,2
CEG0367,16079372,---,COG0526OC,9646,NM_001134938,2.5,100,02763_1,NP_005800.3,8.00E-03,29.25,DEG10010166,2
CEG0803,16079378,K06024,---,16465,NM_005767.5,0.7,100,13741_1,NP_056538.1,7.30E-02,27.63,DEG10010167,2
CEG0799,16079379,K05896,COG1354S,10950,NM_022824.1,0.23,100,11601_1,NP_689807.1,1.50E-01,31.4,DEG10010168,2
CEG0497,16079441,K00784,COG1234R,9656,NM_018430.2,0.28,95.65,16275_1,NP_061166.1,7.00E-116,35.73,DEG10010169,2
CEG0148,16079483,K01662,COG1154HI,4636,NM_003916.3,0.58,95.65,06001_2,NP_001128527.1,0,22.87,DEG10010170,2
CEG1800,16079484,---,COG0142H,18703,NM_032521.2,0.97,100,06099_2,NP_001032354.1,7.00E-65,26.75,DEG10010171,2
CEG0110,16079487,K01491,COG0190H,2289,NM_001002838,0.25,100,01403_1,NP_005947.3,6.00E-110,46.23,DEG10010172,2
CEG1835,16079490,---,COG0439I,16697,NM_020754.2,1.6,100,01951_1,NP_064551.3,7.00E-180,47.19,DEG10010173,2
CEG0177,16079491,K02160,COG0511I,3733,NM_001003699,0.036,95.83,04040_4,NP_001073329.1,2.00E-03,26.55,DEG10010174,2
CEG1812,18677781,---,COG0267J,13619,NM_015852.3,0.63,100,07051_1,NP_003645.1,1.8,45.45,DEG10010175,2
CEG0253,16079562,K03526,COG0821I,18975,NM_001080836,1.3,100,10856_1,NP_079390.3,1.10E-01,46.51,DEG10010176,2
CEG1884,16079571,---,COG0761IM,19224,NM_001085457,0.28,100,11611_2,NP_003948.2,2.00E-03,29.59,DEG10010177,2
CEG1855,16079575,---,COG0568K,4757,NM_003643.3,0.34,100,02442_1,NP_004178.2,2.30E-02,24.16,DEG10010178,2
CEG1821,16079576,---,COG0358L,11056,NM_015015.2,0.14,100,01618_1,NP_000531.2,2.80E-01,38.78,DEG10010179,2
CEG1882,16079580,---,COG0751J,12867,NM_152730.4,2.4,100,11159_2,NP_203753.1,6.40E-01,27.18,DEG10010180,2
CEG0206,16079581,K01878,COG0752J,10466,NM_001127496,1.1,100,09024_1,NP_787071.2,6.5,50,DEG10010181,2
CEG0101,16079583,K03595,COG1159R,17980,NM_001012264,1.1,100,08466_1,NP_005693.1,5.00E-89,23.84,DEG10010182,2
CEG0216,16079595,K02970,COG0828J,15367,NM_001004433,0.75,100,14784_2,NP_061870.1,1.00E-02,28.57,DEG10010183,2
CEG1813,16079609,---,COG0268J,6083,NM_032554.3,0.3,100,12030_2,NP_001018009.2,2.2,40,DEG10010184,2
CEG0081,16079610,K02340,COG1466L,11782,NM_007137.2,0.31,100,12468_1,NP_055506.1,7.20E-01,24.59,DEG10010185,2
CEG0199,16079618,K00969,COG1057H,16427,NM_012174.1,2.6,100,16369_1,NP_073624.2,1.00E-57,19.18,DEG10010186,2
CEG0838,16079619,K07574,---,9694,NM_030625.2,1.3,100,09479_2,NP_078862.2,3.30E-01,31.82,DEG10010187,2
CEG0588,16079621,K06948,COG1161R,12127,NM_172084.2,1.3,100,12823_1,NP_115689.1,1.00E-71,28.35,DEG10010188,2
CEG0038,16079794,K01872,COG0013J,3481,NM_003110.5,0.051,100,03042_1,NP_001596.2,0,35.71,DEG10010189,2
CEG1843,50812273,---,COG0482J,17231,NM_052919.1,0.34,100,15571_1,NP_060476.2,4.00E-175,41.95,DEG10010190,2
CEG0191,50812274,K04487,COG1104E,16544,NM_001077441,1.4,100,04597_1,NP_066923.3,2.00E-152,42.26,DEG10010191,2
CEG0114,16079809,K01876,COG0173J,17561,NM_001145065,2.1,100,07677_1,NP_060592.2,0,43.05,DEG10010192,2
CEG0073,16079810,K01892,COG0124J,6833,NM_007053.2,1.5,100,02871_1,NP_036340.1,2.00E-149,23.64,DEG10010193,2
CEG0138,16079844,K03979,COG0536R,16957,NM_001001706,1.5,100,13617_1,NP_056481.1,2.00E-112,42.03,DEG10010194,2
CEG0089,16079846,K02899,COG0211J,6548,NM_173495.2,1.3,100,14750_1,NP_057588.1,2.00E-29,38.89,DEG10010195,2
CEG0124,16079848,K02888,COG0261J,19081,NM_001080408,1.4,100,14747_1,NP_852615.1,5.00E-02,30.67,DEG10010196,2
CEG1953,16079854,---,COG1792M,10147,NM_024989.3,0.066,100,09533_1,NP_056502.1,4.60E-02,35.38,DEG10010197,2
CEG1907,16079855,---,COG1077D,17960,NM_001006118,1.2,100,00776_1,NP_005518.3,2.00E-110,20.1,DEG10010198,2
CEG1851,16079861,---,COG0525J,11670,NM_020442.4,0.051,89.19,10362_2,NP_006286.1,0,37.54,DEG10010199,2
CEG0058,16079871,K03978,COG0218R,11026,NM_016287.3,2.7,95.24,13700_4,NP_054889.2,1.00E-65,32.93,DEG10010200,2
CEG1893,16079891,---,COG0796M,10785,NM_001135647,0.97,95.45,13218_1,NP_919258.2,7.70E-01,33.8,DEG10010201,2
CEG0301,16079902,K03671,COG0526OC,13335,NM_018071.3,0.36,100,18249_2,NP_071368.3,4.00E-29,31.68,DEG10010202,2
